run_name,metric,all_values_mean,all_values_std,all_values_min,all_values_max,all_values_count,final_values_mean,final_values_std,final_values_min,final_values_max,final_values_count,num_versions,dataset,model,num_samples,max_steps,batch_size
convex_hull_convex_hull_F_glgmlp_nsm1024_nst1024_bs128,train/loss_step,7.704053453175382,20.04046941423592,4.1267627238994464e-05,201.79306030273438,1280,0.0043653838525642644,0.0037749739489552456,9.847113688010722e-05,0.012254088185727596,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_F_glgmlp_nsm1024_nst1024_bs128,epoch,63.83441558441559,37.053044111523604,0.0,128.0,3080,128.0,0.0,128.0,128.0,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_F_glgmlp_nsm1024_nst1024_bs128,train/loss_epoch,8.226044728242215,21.706549892341542,7.190976612037048e-05,164.23898315429688,1280,0.004302529364213115,0.0031731569375979107,7.190976612037048e-05,0.009953533299267292,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_F_glgmlp_nsm1024_nst1024_bs128,train/loss,8.22604475013298,21.70654990389214,7.190976612037048e-05,164.2389678955078,1280,0.004302529306005454,0.0031731568607373385,7.190976612037048e-05,0.009953533299267292,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_F_glgmlp_nsm1024_nst1024_bs128,train/epoch,63.5,36.96373135245523,0.0,127.0,1280,127.0,0.0,127.0,127.0,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_F_glgmlp_nsm1024_nst1024_bs128,val/loss,15.872866688522638,12.131214211944256,10.229238510131836,125.77975463867188,510,12.004078483581543,1.3374689605110675,10.229238510131836,14.7771577835083,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_F_glgmlp_nsm1024_nst1024_bs128,test/loss,11.98491554260254,1.3242188802074824,10.229238510131836,14.76828384399414,10,11.98491554260254,1.3242188802074824,10.229238510131836,14.76828384399414,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_MODWORES2_glgmlp_nsm1024_nst1024_bs128,train/loss_step,12.261064133055202,33.35422690998819,0.02824350632727146,184.3665771484375,1408,0.08000894043255936,0.03369695282780201,0.02824350632727146,0.15211984515190125,11,11,convex_hull,,1024,1024,128
convex_hull_convex_hull_MODWORES2_glgmlp_nsm1024_nst1024_bs128,epoch,63.83441558441559,37.05249711834955,0.0,128.0,3388,128.0,0.0,128.0,128.0,11,11,convex_hull,,1024,1024,128
convex_hull_convex_hull_MODWORES2_glgmlp_nsm1024_nst1024_bs128,train/loss_epoch,12.703939908120612,34.21357366243553,0.043307580053806305,166.47145080566406,1408,0.07929716428572481,0.028414176429284916,0.043307580053806305,0.1500633805990219,11,11,convex_hull,,1024,1024,128
convex_hull_convex_hull_MODWORES2_glgmlp_nsm1024_nst1024_bs128,train/loss,12.703939901916204,34.2135735223539,0.043307580053806305,166.471435546875,1408,0.07929716056043451,0.028414171700124398,0.043307580053806305,0.15006336569786072,11,11,convex_hull,,1024,1024,128
convex_hull_convex_hull_MODWORES2_glgmlp_nsm1024_nst1024_bs128,train/epoch,63.5,36.96241776367916,0.0,127.0,1408,127.0,0.0,127.0,127.0,11,11,convex_hull,,1024,1024,128
convex_hull_convex_hull_MODWORES2_glgmlp_nsm1024_nst1024_bs128,val/loss,18.871178193525836,26.886361305855687,10.575742721557617,156.3148193359375,561,10.974371823397549,0.2859034706093133,10.575742721557617,11.451388359069824,11,11,convex_hull,,1024,1024,128
convex_hull_convex_hull_MODWORES2_glgmlp_nsm1024_nst1024_bs128,test/loss,10.966893802989613,0.27990756112660004,10.575742721557617,11.451388359069824,11,10.966893802989613,0.27990756112660004,10.575742721557617,11.451388359069824,11,11,convex_hull,,1024,1024,128
convex_hull_convex_hull_ModRes_glgmlp_nsm1024_nst1024_bs128,train/loss_step,7.559858626817581,19.624777959719037,2.6707053621066734e-05,173.49078369140625,1280,0.0015946472776704468,0.002072222903030308,9.927271457854658e-05,0.0057061053812503815,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_ModRes_glgmlp_nsm1024_nst1024_bs128,epoch,63.83441558441559,37.053044111523604,0.0,128.0,3080,128.0,0.0,128.0,128.0,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_ModRes_glgmlp_nsm1024_nst1024_bs128,train/loss_epoch,8.119188112030349,21.547489753958818,3.642090814537369e-05,169.7606964111328,1280,0.0016470153157570166,0.0023087788261184302,3.642090814537369e-05,0.007457964587956667,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_ModRes_glgmlp_nsm1024_nst1024_bs128,train/loss,8.119188116431644,21.547489847143698,3.642090814537369e-05,169.76071166992188,1280,0.0016470152648253133,0.0023087786944653204,3.642090814537369e-05,0.00745796412229538,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_ModRes_glgmlp_nsm1024_nst1024_bs128,train/epoch,63.5,36.96373135245523,0.0,127.0,1280,127.0,0.0,127.0,127.0,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_ModRes_glgmlp_nsm1024_nst1024_bs128,val/loss,16.109015367545332,11.710468950539948,10.952713012695312,135.90440368652344,510,12.612001895904541,0.9887655684148077,10.965688705444336,14.407571792602539,10,10,convex_hull,,1024,1024,128
convex_hull_convex_hull_ModRes_glgmlp_nsm1024_nst1024_bs128,test/loss,12.528053760528564,0.9813744529018039,10.952713012695312,14.359657287597656,10,12.528053760528564,0.9813744529018039,10.952713012695312,14.359657287597656,10,10,convex_hull,,1024,1024,128
